template,zone,element,attr,control_name
0,0,0,color,MOTION32_SCREEN_MAIN_BACKGROUND
0,1,0,color,MOTION32_SCREEN_MAIN_HEADER_BACKGROUND
0,1,1,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT[0]
0,1,1,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_COLOR[0]
0,1,1,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_VISIBLE[0]
0,1,1,font,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_FONTSTYLE[0]
0,1,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT[1]
0,1,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_COLOR[1]
0,1,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_VISIBLE[1]
0,1,2,font,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_FONTSTYLE[1]
0,1,3,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT[2]
0,1,3,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_COLOR[2]
0,1,3,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_VISIBLE[2]
0,1,3,font,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_FONTSTYLE[2]
0,1,4,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT[3]
0,1,4,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_COLOR[3]
0,1,4,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_VISIBLE[3]
0,1,4,font,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_FONTSTYLE[3]
0,1,5,text,MOTION32_SCREEN_MAIN_HEADER_TITLE_TEXT
0,1,5,color,MOTION32_SCREEN_MAIN_HEADER_TITLE_TEXT_COLOR
0,1,5,visible,MOTION32_SCREEN_MAIN_HEADER_TITLE_TEXT_VISIBLE
0,1,5,font,MOTION32_SCREEN_MAIN_HEADER_TITLE_TEXT_FONTSTYLE
0,2,0,color,MOTION32_SCREEN_MAIN_HEADER_DIVIDER_COLOR
0,2,0,visible,MOTION32_SCREEN_MAIN_HEADER_DIVIDER_VISIBLE
0,12,0,color,MOTION32_SCREEN_MAIN_FOOTER_DIVIDER_COLOR
0,13,0,color,MOTION32_SCREEN_MAIN_FOOTER_BACKGROUND
0,13,1,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT[4]
0,13,1,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_COLOR[4]
0,13,1,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_VISIBLE[4]
0,13,1,font,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_FONTSTYLE[4]
0,13,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT[5]
0,13,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_COLOR[5]
0,13,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_VISIBLE[5]
0,13,2,font,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_FONTSTYLE[5]
0,13,3,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT[6]
0,13,3,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_COLOR[6]
0,13,3,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_VISIBLE[6]
0,13,3,font,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_FONTSTYLE[6]
0,13,4,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT[7]
0,13,4,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_COLOR[7]
0,13,4,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_VISIBLE[7]
0,13,4,font,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_BUT_FONTSTYLE[7]
0,3,0,color,MOTION32_SCREEN_MAIN_ENCODER_BACKGROUND[0]
0,3,1,value,MOTION32_SCREEN_MAIN_ENCODER_ENCODER[0]
0,3,1,color,MOTION32_SCREEN_MAIN_ENCODER_COLOR[0]
0,3,1,visible,MOTION32_SCREEN_MAIN_ENCODER_VISIBLE[0]
0,3,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC[0]
0,3,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_VISIBLE[0]
0,3,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_COLOR[0]
0,4,0,color,MOTION32_SCREEN_MAIN_ENCODER_BACKGROUND[1]
0,4,1,value,MOTION32_SCREEN_MAIN_ENCODER_ENCODER[1]
0,4,1,color,MOTION32_SCREEN_MAIN_ENCODER_COLOR[1]
0,4,1,visible,MOTION32_SCREEN_MAIN_ENCODER_VISIBLE[1]
0,4,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC[1]
0,4,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_VISIBLE[1]
0,4,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_COLOR[1]
0,5,0,color,MOTION32_SCREEN_MAIN_ENCODER_BACKGROUND[2]
0,5,1,value,MOTION32_SCREEN_MAIN_ENCODER_ENCODER[2]
0,5,1,color,MOTION32_SCREEN_MAIN_ENCODER_COLOR[2]
0,5,1,visible,MOTION32_SCREEN_MAIN_ENCODER_VISIBLE[2]
0,5,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC[2]
0,5,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_VISIBLE[2]
0,5,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_COLOR[2]
0,6,0,color,MOTION32_SCREEN_MAIN_ENCODER_BACKGROUND[3]
0,6,1,value,MOTION32_SCREEN_MAIN_ENCODER_ENCODER[3]
0,6,1,color,MOTION32_SCREEN_MAIN_ENCODER_COLOR[3]
0,6,1,visible,MOTION32_SCREEN_MAIN_ENCODER_VISIBLE[3]
0,6,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC[3]
0,6,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_VISIBLE[3]
0,6,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_COLOR[3]
0,7,0,color,MOTION32_SCREEN_MAIN_TEXT_BACKGROUND
0,7,1,text,MOTION32_SCREEN_MAIN_TEXT
0,7,1,color,MOTION32_SCREEN_MAIN_TEXT_COLOR
0,7,1,visible,MOTION32_SCREEN_MAIN_TEXT_VISIBLE
0,8,0,color,MOTION32_SCREEN_MAIN_ENCODER_BACKGROUND[4]
0,8,1,value,MOTION32_SCREEN_MAIN_ENCODER_ENCODER[4]
0,8,1,color,MOTION32_SCREEN_MAIN_ENCODER_COLOR[4]
0,8,1,visible,MOTION32_SCREEN_MAIN_ENCODER_VISIBLE[4]
0,8,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC[4]
0,8,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_VISIBLE[4]
0,8,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_COLOR[4]
0,9,0,color,MOTION32_SCREEN_MAIN_ENCODER_BACKGROUND[5]
